Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/5/1992,86.75,88.12,86.5,86.62,1657700,0,1,13.89441095,14.11383854,13.85436942,13.87358936,6630800
3/4/1992,88.25,89.62,87.37,87.37,1802500,0,1,14.13466013,14.35408772,13.99371395,13.99371395,7210000
3/3/1992,87.62,88.62,87.12,88.25,1577300,0,1,14.03375548,14.1939216,13.95367242,14.13466013,6309200
3/2/1992,86.87,87.75,86.25,87.5,1441400,0,1,13.91363089,14.05457707,13.81432789,14.01453554,5765600
2/28/1992,88.37,88.62,86.62,86.87,1747200,0,1,14.15388007,14.1939216,13.87358936,13.91363089,6988800
2/27/1992,88,88.37,87.5,87.75,1481600,0,1,14.0946186,14.15388007,14.01453554,14.05457707,5926400
2/26/1992,88.37,88.62,87.62,88.25,1555300,0,1,14.15388007,14.1939216,14.03375548,14.13466013,6221200
2/25/1992,89.25,89.25,88.12,88.25,1579800,0,1,14.29482625,14.29482625,14.11383854,14.13466013,6319200
2/24/1992,89.87,90.25,88.75,89.37,1056500,0,1,14.39412925,14.45499237,14.21474319,14.31404619,4226000
2/21/1992,89.75,90.37,89.25,89.87,1446100,0,1,14.37490931,14.47421231,14.29482625,14.39412925,5784400
2/20/1992,89.75,90.62,89.12,89.75,1363200,0,1,14.37490931,14.51425384,14.27400466,14.37490931,5452800
2/19/1992,90,90.75,89.37,89.62,1148400,0,1,14.41495084,14.53507543,14.31404619,14.35408772,4593600
2/18/1992,90,91.12,89.12,89.62,1314500,0,1,14.41495084,14.5943369,14.27400466,14.35408772,5258000
2/14/1992,90.5,91.12,89.5,89.75,1295100,0,1,14.4950339,14.5943369,14.33486778,14.37490931,5180400
2/13/1992,92.75,93.25,90.12,90.75,1954000,0,1,14.85540768,14.93549074,14.43417078,14.53507543,7816000
2/12/1992,90.5,92.37,89.87,92.12,1581500,0,1,14.4950339,14.79454455,14.39412925,14.75450302,6326000
2/11/1992,89.75,90.87,89.75,90.25,1130700,0,1,14.37490931,14.55429537,14.37490931,14.45499237,4522800
2/10/1992,89.62,89.87,89.12,89.75,945800,0,1,14.35408772,14.39412925,14.27400466,14.37490931,3783200
